FID,Grid_Numbe,Longitude,Latitude,Idw_Raster
0,Grid_1,81.500000000000000,18,189238.0000000
1,Grid_2,81.750000000000000,18,198416.0000000
2,Grid_3,82.250000000000000,18,242767.0000000
3,Grid_4,81.750000000000000,18,241123.0000000
4,Grid_5,82.000000000000000,18,210685.0000000
5,Grid_6,82.250000000000000,18,227838.0000000
6,Grid_7,82.000000000000000,18,232435.0000000
7,Grid_8,82.250000000000000,18,255355.0000000
8,Grid_9,82.750000000000000,18,508286.0000000
9,Grid_10,83.000000000000000,18,808291.0000000
10,Grid_11,82.250000000000000,19,314235.0000000
11,Grid_12,82.500000000000000,19,460163.0000000
12,Grid_13,82.750000000000000,19,519842.0000000
13,Grid_14,83.000000000000000,19,673966.0000000
14,Grid_15,82.250000000000000,19,534648.0000000
15,Grid_16,82.500000000000000,19,521964.0000000
16,Grid_17,82.750000000000000,19,518634.0000000
17,Grid_18,83.000000000000000,19,527104.0000000
18,Grid_19,83.250000000000000,19,527978.0000000
19,Grid_20,83.750000000000000,19,488877.0000000
20,Grid_21,84.000000000000000,19,545715.0000000
21,Grid_22,84.250000000000000,19,620048.0000000
22,Grid_23,82.250000000000000,19,700043.0000000
23,Grid_24,82.500000000000000,19,560827.0000000
24,Grid_25,82.750000000000000,19,504379.0000000
25,Grid_26,83.000000000000000,19,416616.0000000
26,Grid_27,83.250000000000000,19,380680.0000000
27,Grid_28,83.500000000000000,19,323874.0000000
28,Grid_29,83.750000000000000,19,308091.0000000
29,Grid_30,84.000000000000000,19,326201.0000000
30,Grid_31,84.250000000000000,19,476697.0000000
31,Grid_32,84.500000000000000,19,1197530.0000000
32,Grid_33,84.750000000000000,19,1254540.0000000
33,Grid_34,82.250000000000000,20,630597.0000000
34,Grid_35,82.500000000000000,20,570643.0000000
35,Grid_36,82.750000000000000,20,526119.0000000
36,Grid_37,83.000000000000000,20,420878.0000000
37,Grid_38,83.250000000000000,20,364510.0000000
38,Grid_39,83.500000000000000,20,257531.0000000
39,Grid_40,83.750000000000000,20,231943.0000000
40,Grid_41,84.000000000000000,20,269716.0000000
41,Grid_42,84.250000000000000,20,398582.0000000
42,Grid_43,84.500000000000000,20,1030390.0000000
43,Grid_44,84.750000000000000,20,1141550.0000000
44,Grid_45,85.000000000000000,20,551683.0000000
45,Grid_46,82.250000000000000,20,518205.0000000
46,Grid_47,82.500000000000000,20,554952.0000000
47,Grid_48,82.750000000000000,20,554822.0000000
48,Grid_49,83.000000000000000,20,455467.0000000
49,Grid_50,83.250000000000000,20,393127.0000000
50,Grid_51,83.500000000000000,20,235033.0000000
51,Grid_52,83.750000000000000,20,193616.0000000
52,Grid_53,84.000000000000000,20,256953.0000000
53,Grid_54,84.250000000000000,20,354192.0000000
54,Grid_55,84.500000000000000,20,830165.0000000
55,Grid_56,84.750000000000000,20,950172.0000000
56,Grid_57,85.000000000000000,20,632068.0000000
57,Grid_58,85.250000000000000,20,581808.0000000
58,Grid_59,85.500000000000000,20,699394.0000000
59,Grid_60,82.000000000000000,20,298439.0000000
60,Grid_61,82.750000000000000,20,547467.0000000
61,Grid_62,83.000000000000000,20,594560.0000000
62,Grid_63,83.250000000000000,20,551803.0000000
63,Grid_64,83.500000000000000,20,288843.0000000
64,Grid_65,83.750000000000000,20,217205.0000000
65,Grid_66,84.000000000000000,20,297569.0000000
66,Grid_67,84.250000000000000,20,366106.0000000
67,Grid_68,84.500000000000000,20,593041.0000000
68,Grid_69,84.750000000000000,20,696856.0000000
69,Grid_70,85.000000000000000,20,774128.0000000
70,Grid_71,85.250000000000000,20,968634.0000000
71,Grid_72,85.500000000000000,20,1847620.0000000
72,Grid_73,85.750000000000000,20,1983430.0000000
73,Grid_74,86.000000000000000,20,1321330.0000000
74,Grid_75,86.250000000000000,20,1019210.0000000
75,Grid_76,82.500000000000000,20,441171.0000000
76,Grid_77,82.750000000000000,20,548494.0000000
77,Grid_78,83.000000000000000,20,710544.0000000
78,Grid_79,83.250000000000000,20,696881.0000000
79,Grid_80,83.500000000000000,20,359352.0000000
80,Grid_81,83.750000000000000,20,268413.0000000
81,Grid_82,84.000000000000000,20,357172.0000000
82,Grid_83,84.250000000000000,20,384398.0000000
83,Grid_84,84.500000000000000,20,414549.0000000
84,Grid_85,84.750000000000000,20,505510.0000000
85,Grid_86,85.000000000000000,20,883411.0000000
86,Grid_87,85.250000000000000,20,1237400.0000000
87,Grid_88,85.500000000000000,20,2652890.0000000
88,Grid_89,85.750000000000000,20,2907830.0000000
89,Grid_90,86.000000000000000,20,1960770.0000000
90,Grid_91,86.250000000000000,20,1522870.0000000
91,Grid_92,86.500000000000000,20,726523.0000000
92,Grid_93,82.500000000000000,20,451116.0000000
93,Grid_94,82.750000000000000,20,549187.0000000
94,Grid_95,83.000000000000000,20,733137.0000000
95,Grid_96,83.250000000000000,20,754480.0000000
96,Grid_97,83.500000000000000,20,533775.0000000
97,Grid_98,83.750000000000000,20,455663.0000000
